,STT,CustomerRef,CustomerName,SoldToCode,SoldToName,MajorAccount,MajorAccountCode,MajorAccountCode.1,Channel,SubChannel,Longitude,Latitude,City,State,Country,SalesOrganization,Region
0,1,11000128,Customer 48,11000128,Company 4,Account 3,91363,91240,Foodservice,National Distributor,145.206237,-38.025962,Greater Dandenong,Victoria,Australia,Organization 1,Greater Melbourne
1,2,11000144,Customer 50,11000144,Company 6,Account 4,91418,91295,Foodservice,National Distributor,144.9476759,-37.7289906,Moreland,Victoria,Australia,Organization 1,Greater Melbourne
2,3,11000149,Customer 51,11000149,Company 7,Account 3,91363,91240,Foodservice,National Distributor,152.5190493,-32.1976865,Great Lakes,New South Wales,Australia,Organization 1,Mid North Coast
3,4,11000159,Customer 52,11000159,Company 8,Account 3,91363,91240,Foodservice,National Distributor,153.1225552,-27.6172304,Logan,Queensland,Australia,Organization 1,Greater Brisbane
4,5,11000176,Customer 53,11000176,Company 9,Account 4,91418,91295,Foodservice,National Distributor,145.1971191,-37.9909257,Greater Dandenong,Victoria,Australia,Organization 1,Greater Melbourne
5,6,11000181,Customer 54,11000181,Company 10,Account 3,91363,91240,Foodservice,National Distributor,130.85716,-12.4312623,Darwin,Northern Territory,Australia,Organization 1,Darwin
6,7,11000185,Customer 55,11000185,Company 11,Account 3,91363,91240,Foodservice,National Distributor,115.92188,-32.0001,Canning,Western Australia,Australia,Organization 1,Perth
7,8,11000197,Customer 56,11000197,Company 12,Account 5,91401,91278,Foodservice,Independent Distributor,144.8691682,-37.7106979,Brimbank,Victoria,Australia,Organization 1,Greater Melbourne
8,9,11000209,Customer 57,11000209,Company 13,Account 5,91401,91278,Foodservice,Independent Distributor,147.6152873,-37.8298646,East Gippsland,Victoria,Australia,Organization 1,Latrobe - Gippsland
9,10,11000248,Customer 58,11000248,Company 14,Account 4,91418,91295,Foodservice,National Distributor,144.3496616,-38.1079755,Greater Geelong,Victoria,Australia,Organization 1,Ballarat & Geelong
10,11,11000299,Customer 59,11000299,Company 15,Account 6,91346,91223,Foodservice,National Distributor,152.3643373,-24.8627923,Bundaberg,Queensland,Australia,Organization 1,Sunshine Coast & Wide Bay
11,12,11000300,Customer 60,11000300,Company 16,Account 6,91346,91223,Foodservice,National Distributor,151.2448992,-23.8399747,Gladstone,Queensland,Australia,Organization 1,Central Queensland
12,13,11000301,Customer 61,11000301,Company 17,Account 6,91346,91223,Foodservice,National Distributor,150.5021598,-23.3225302,Rockhampton,Queensland,Australia,Organization 1,Central Queensland
13,14,11000302,Customer 62,11000302,Company 18,Account 6,91346,91223,Foodservice,National Distributor,138.5185666,-34.8338433,Port Adelaide Enfield,South Australia,Australia,Organization 1,Adelaide
14,15,11000303,Customer 63,11000303,Company 19,Account 6,91346,91223,Foodservice,National Distributor,146.9637485,-36.041226,Albury,New South Wales,Australia,Organization 1,Murray
15,16,11000304,Customer 64,11000304,Company 20,Account 6,91346,91223,Foodservice,National Distributor,151.6531203,-30.5152298,Armidale Dumaresq,New South Wales,Australia,Organization 1,New England and North West
16,17,11000305,Customer 65,11000305,Company 21,Account 6,91346,91223,Foodservice,National Distributor,153.0868341,-27.4558751,Brisbane,Queensland,Australia,Organization 1,Greater Brisbane
17,18,11000306,Customer 66,11000306,Company 22,Account 6,91346,91223,Foodservice,National Distributor,145.7529773,-16.9572195,Cairns,Queensland,Australia,Organization 1,Cairns
